Codigo Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month
PRT;139;1571;9285;42194;6;2020;2020-6
ROU;361;1648;7390;27045;6;2020;2020-6
RUS;4380;9073;228594;634437;6;2020;2020-6
SMR;0;42;27;698;6;2020;2020-6
SRB;27;270;2634;14046;6;2020;2020-6
SVK;0;34;149;1648;6;2020;2020-6
SVN;0;113;111;1584;6;2020;2020-6
SWE;818;5439;27672;66332;6;2020;2020-6
TUR;557;5097;33297;197239;6;2020;2020-6
UKR;421;1129;19310;42982;6;2020;2020-6
VAT;0;0;0;12;6;2020;2020-6
XKX;19;49;1594;2677;6;2020;2020-6
ALB;83;138;2361;4763;7;2020;2020-7
AND;0;52;42;897;7;2020;2020-7
ARM;278;711;12263;37390;7;2020;2020-7
AUT;11;742;2892;20527;7;2020;2020-7
AZE;219;417;13626;30050;7;2020;2020-7
BEL;67;9636;5215;68898;7;2020;2020-7
BGR;122;338;5687;10312;7;2020;2020-7
BIH;104;287;6109;10315;7;2020;2020-7
BLR;151;534;5657;67132;7;2020;2020-7
CHE;19;1700;2791;34325;7;2020;2020-7
CYP;0;29;65;1065;7;2020;2020-7
CZE;26;372;3712;15362;7;2020;2020-7
DEU;135;9218;12092;206172;7;2020;2020-7
DNK;9;222;808;13822;7;2020;2020-7
ESP;151;29905;32693;289304;7;2020;2020-7
EST;0;137;42;7274;7;2020;2020-7
FIN;6;331;164;7032;7;2020;2020-7
FRA;456;19859;18991;179259;7;2020;2020-7
FRO;0;0;4;191;7;2020;2020-7
GBR;658;41311;17853;301283;7;2020;2020-7
GEO;1;16;211;1137;7;2020;2020-7
GGY;0;13;0;252;7;2020;2020-7
GIB;0;0;8;185;7;2020;2020-7
GRC;11;202;881;4330;7;2020;2020-7
HRV;29;136;2166;4850;7;2020;2020-7
HUN;11;596;303;4448;7;2020;2020-7
IMN;0;24;0;336;7;2020;2020-7
IRL;17;1503;462;25874;7;2020;2020-7
ISL;0;10;34;1868;7;2020;2020-7
ITA;329;35643;6183;246689;7;2020;2020-7
JEY;0;31;13;332;7;2020;2020-7
LIE;0;1;4;86;7;2020;2020-7
LTU;1;79;203;841;7;2020;2020-7
LUX;2;94;1727;4863;7;2020;2020-7
LVA;1;31;103;1219;7;2020;2020-7
MCO;0;1;11;81;7;2020;2020-7
MDA;205;735;6784;23034;7;2020;2020-7
MKD;174;460;3994;10086;7;2020;2020-7
MLT;0;9;30;697;7;2020;2020-7
MNE;29;40;2088;2569;7;2020;2020-7
NLD;32;6214;2954;52868;7;2020;2020-7
NOR;6;255;279;9136;7;2020;2020-7
POL;233;1671;9158;43065;7;2020;2020-7
PRT;153;1724;8845;51039;7;2020;2020-7
ROU;600;2248;20686;47731;7;2020;2020-7
RUS;4196;13269;178048;812485;7;2020;2020-7
SMR;0;42;1;699;7;2020;2020-7
SRB;264;534;9684;23730;7;2020;2020-7
SVK;1;35;522;2170;7;2020;2020-7
SVN;5;118;504;2088;7;2020;2020-7
SWE;269;5708;9396;75728;7;2020;2020-7
TUR;516;5613;28861;226100;7;2020;2020-7
UKR;476;1605;21867;64849;7;2020;2020-7
VAT;0;0;0;12;7;2020;2020-7
XKX;120;169;4240;6917;7;2020;2020-7
ALB;142;280;4617;9380;8;2020;2020-8
AND;1;53;227;1124;8;2020;2020-8
ARM;166;877;6360;43750;8;2020;2020-8
AUT;19;761;6826;27353;8;2020;2020-8
AZE;114;531;6259;36309;8;2020;2020-8
BEL;193;9829;18424;87322;8;2020;2020-8
BGR;267;605;5852;16164;8;2020;2020-8
BIH;311;598;9478;19793;8;2020;2020-8
BLR;142;676;4555;71687;8;2020;2020-8
CHE;24;1724;7581;41906;8;2020;2020-8
CYP;1;30;429;1494;8;2020;2020-8
CZE;54;426;9034;24396;8;2020;2020-8
DEU;175;9393;37294;243466;8;2020;2020-8
DNK;11;233;3498;17320;8;2020;2020-8
ESP;1157;31062;202387;491691;8;2020;2020-8
EST;1;138;342;7616;8;2020;2020-8
FIN;11;342;710;7742;8;2020;2020-8
FRA;557;20416;105968;285227;8;2020;2020-8
FRO;0;0;220;411;8;2020;2020-8
GBR;349;41660;37610;338893;8;2020;2020-8
GEO;3;19;350;1487;8;2020;2020-8
GGY;0;13;0;252;8;2020;2020-8
GIB;0;0;100;285;8;2020;2020-8
GRC;63;265;6341;10671;8;2020;2020-8
HRV;48;184;5266;10116;8;2020;2020-8
HUN;21;617;1691;6139;8;2020;2020-8
IMN;0;24;0;336;8;2020;2020-8
IRL;9;1512;2920;28794;8;2020;2020-8
ISL;0;10;256;2124;8;2020;2020-8
ITA;227;35870;24883;271572;8;2020;2020-8
JEY;1;32;42;374;8;2020;2020-8
LIE;0;1;21;107;8;2020;2020-8
LTU;8;87;886;1727;8;2020;2020-8
LUX;13;107;1515;6378;8;2020;2020-8
LVA;3;34;174;1393;8;2020;2020-8
MCO;0;1;50;131;8;2020;2020-8
MDA;257;992;13666;36700;8;2020;2020-8
MKD;124;584;3841;13927;8;2020;2020-8
MLT;2;11;1162;1859;8;2020;2020-8
MNE;58;98;2221;4790;8;2020;2020-8
NLD;89;6303;17176;70044;8;2020;2020-8
NOR;9;264;1678;10814;8;2020;2020-8
POL;362;2033;23805;66870;8;2020;2020-8
PRT;103;1827;8399;59438;8;2020;2020-8
ROU;1506;3754;40989;88720;8;2020;2020-8
RUS;3824;17093;177841;990326;8;2020;2020-8
SMR;0;42;11;710;8;2020;2020-8
SRB;177;711;7635;31365;8;2020;2020-8
SVK;15;50;1724;3894;8;2020;2020-8
SVN;14;132;796;2884;8;2020;2020-8
SWE;81;5789;8509;84237;8;2020;2020-8
TUR;713;6326;271266;497366;8;2020;2020-8
UKR;922;2527;54225;119074;8;2020;2020-8
VAT;0;0;0;12;8;2020;2020-8
XKX;347;516;6417;13334;8;2020;2020-8
ALB;97;377;3879;13259;9;2020;2020-9
AND;0;53;712;1836;9;2020;2020-9
ARM;74;951;5650;49400;9;2020;2020-9
AUT;55;816;16132;43485;9;2020;2020-9
AZE;55;586;3714;40023;9;2020;2020-9
BEL;101;9930;31195;118517;9;2020;2020-9
BGR;184;789;3833;19997;9;2020;2020-9
BIH;219;817;7128;26921;9;2020;2020-9
BLR;142;818;5922;77609;9;2020;2020-9
CHE;54;1778;9958;51864;9;2020;2020-9
CYP;2;32;234;1728;9;2020;2020-9
CZE;201;627;40222;64618;9;2020;2020-9
DEU;171;9564;43743;287209;9;2020;2020-9
DNK;25;258;10270;27590;9;2020;2020-9
ESP;2929;33991;293119;784810;9;2020;2020-9
EST;0;138;898;8514;9;2020;2020-9
FIN;13;355;1727;9469;9;2020;2020-9
FRA;1647;22063;267537;552764;9;2020;2020-9
FRO;0;0;49;460;9;2020;2020-9
GBR;612;42272;119809;458702;9;2020;2020-9
GEO;9;28;4065;5552;9;2020;2020-9
GGY;0;13;4;256;9;2020;2020-9
GIB;0;0;94;379;9;2020;2020-9
GRC;122;387;7524;18195;9;2020;2020-9
HRV;88;272;6074;16190;9;2020;2020-9
HUN;142;759;18572;24711;9;2020;2020-9
IMN;0;24;4;340;9;2020;2020-9
IRL;34;1546;6550;35344;9;2020;2020-9
ISL;0;10;549;2673;9;2020;2020-9
ITA;433;36303;42682;314254;9;2020;2020-9
JEY;0;32;26;400;9;2020;2020-9
LIE;0;1;10;117;9;2020;2020-9
LTU;13;100;1583;3310;9;2020;2020-9
LUX;1;108;1699;8077;9;2020;2020-9
LVA;2;36;283;1676;9;2020;2020-9
MCO;0;1;79;210;9;2020;2020-9
MDA;295;1287;14175;50875;9;2020;2020-9
MKD;141;725;3702;17629;9;2020;2020-9
MLT;20;31;1117;2976;9;2020;2020-9
MNE;60;158;5523;10313;9;2020;2020-9
NLD;162;6465;41342;111386;9;2020;2020-9
NOR;6;270;3013;13827;9;2020;2020-9
POL;398;2431;20460;87330;9;2020;2020-9
PRT;136;1963;15749;75187;9;2020;2020-9
ROU;1186;4940;37312;126032;9;2020;2020-9
RUS;3231;20324;161112;1151438;9;2020;2020-9
SMR;0;42;17;727;9;2020;2020-9
SRB;36;747;2019;33384;9;2020;2020-9
SVK;48;98;5459;9353;9;2020;2020-9
SVN;21;153;2506;5390;9;2020;2020-9
SWE;48;5837;7923;92160;9;2020;2020-9
TUR;1671;7997;234327;731693;9;2020;2020-9
UKR;1432;3959;79560;198634;9;2020;2020-9
VAT;0;0;0;12;9;2020;2020-9
XKX;106;622;2138;15472;9;2020;2020-9
ALB;100;477;5898;19157;10;2020;2020-10
AND;16;69;2202;4038;10;2020;2020-10
ARM;245;1196;29410;78810;10;2020;2020-10
AUT;239;1055;41259;84744;10;2020;2020-10
AZE;85;671;9936;49959;10;2020;2020-10
BEL;965;10895;235362;353879;10;2020;2020-10
BGR;295;1084;17565;37562;10;2020;2020-10
BIH;269;1086;13972;40893;10;2020;2020-10
BLR;139;957;15214;92823;10;2020;2020-10
CHE;98;1876;51459;103323;10;2020;2020-10
