 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate;inmigracion
Italy;5419;34214;31684;233468;5;2020;2020-5;-0.1;
Jersey;10;29;27;308;5;2020;2020-5;;
Kosovo;10;30;319;1083;5;2020;2020-5;;
Latvia;12;25;253;1066;5;2020;2020-5;0.1;
Liechtenstein;0;1;0;82;5;2020;2020-5;;
Lithuania;24;77;343;498;5;2020;2020-5;1.1;
Luxembourg;15;90;55;2954;5;2020;2020-5;0.0;
Malta;5;9;170;615;5;2020;2020-5;0.8;
Moldova;199;295;4843;8251;5;2020;2020-5;;
Monaco;0;1;2;67;5;2020;2020-5;;
Montenegro;2;9;3;324;5;2020;2020-5;;
Netherlands;1139;6051;8630;46196;5;2020;2020-5;1.1;
North Macedonia;72;133;840;2226;5;2020;2020-5;1.2;
Norway;43;236;852;8438;5;2020;2020-5;1.2;
Poland;530;1063;12230;23784;5;2020;2020-5;3.7;
Portugal;426;1432;10525;32909;5;2020;2020-5;-0.1;
Romania;619;1287;8014;19655;5;2020;2020-5;2.3;
Russia;3946;4693;324894;405843;5;2020;2020-5;;
San Marino;1;42;133;671;5;2020;2020-5;;
Serbia;87;243;3370;11412;5;2020;2020-5;1.8;
Slovakia;13;34;136;1499;5;2020;2020-5;2.0;
Slovenia;23;113;70;1473;5;2020;2020-5;-0.3;
Spain;4025;29171;26870;246647;5;2020;2020-5;-0.3;
Sweden;2064;4621;19793;38660;5;2020;2020-5;0.7;
Switzerland;320;1656;1801;30779;5;2020;2020-5;-0.8;
Turkey;1735;4540;53812;163942;5;2020;2020-5;12.3;
Ukraine;499;708;15055;23672;5;2020;2020-5;;
United Kingdom;11961;38219;99496;256442;5;2020;2020-5;0.8;
Albania;22;55;1265;2402;6;2020;2020-6;;
Andorra;1;52;91;855;6;2020;2020-6;;
Armenia;294;433;15635;25127;6;2020;2020-6;;
Austria;36;731;982;17635;6;2020;2020-6;1.4;
Azerbaijan;135;198;10930;16424;6;2020;2020-6;;
Belarus;246;9569;2793;63683;6;2020;2020-6;;
Belgium;76;216;2112;4625;6;2020;2020-6;0.4;
